price,location_id_real_consumer,location_id_aggregated_consumer,year,is_real
101.85,17,,2019 ,true
103.2,18,,2019 ,true
109.47,19,,2019 ,true
105.93,20,,2019 ,true
108.53,21,,2019 ,true
105.94,22,,2019 ,true
105.42,23,,2019 ,true
105.54,24,,2019 ,true
105.78,25,,2019 ,true
111.5,26,,2019 ,true
104.8,27,,2019 ,true
103.71,28,,2019 ,true
108.15,29,,2019 ,true
108.8,30,,2019 ,true
106.93,31,,2019 ,true
105.11,32,,2019 ,true
106.33,33,,2019 ,true
160.3,34,,2019 ,true
107.8,35,,2019 ,true
105.99,36,,2019 ,true
105.59,37,,2019 ,true
110.74,0,,2020 ,true
108.47,1,,2020 ,true
108.23,2,,2020 ,true
106.27,3,,2020 ,true
100.56,4,,2020 ,true
99.67,5,,2020 ,true
111.4,6,,2020 ,true
105.8,7,,2020 ,true
102.9,8,,2020 ,true
105.06,,0,2020 ,false
105.05,,1,2020 ,false
109.8,9,,2020 ,true
101.17,10,,2020 ,true
103.91,11,,2020 ,true
105.76,,2,2020 ,false
103.98,12,,2020 ,true
105.5,13,,2020 ,true
103.06,14,,2020 ,true
113.15,15,,2020 ,true
101.2,16,,2020 ,true
103.06,17,,2020 ,true
103.0,18,,2020 ,true
110.63,19,,2020 ,true
105.93,20,,2020 ,true
108.62,21,,2020 ,true
105.39,22,,2020 ,true
106.73,23,,2020 ,true
106.37,24,,2020 ,true
106.96,25,,2020 ,true
112.8,26,,2020 ,true
108.6,27,,2020 ,true
103.58,28,,2020 ,true
110.67,29,,2020 ,true
110.7,30,,2020 ,true
107.63,31,,2020 ,true
104.82,32,,2020 ,true
108.47,33,,2020 ,true
179.98,34,,2020 ,true
,35,,2020 ,true
106.8,36,,2020 ,true
105.8,37,,2020 ,true
113.26,0,,2021 ,true
111.46,1,,2021 ,true
111.71,2,,2021 ,true
109.3,3,,2021 ,true
101.04,4,,2021 ,true
101.92,5,,2021 ,true
115.1,6,,2021 ,true
109.2,7,,2021 ,true
104.9,8,,2021 ,true
107.78,,0,2021 ,false
107.77,,1,2021 ,false
114.72,9,,2021 ,true
101.75,10,,2021 ,true
107.04,11,,2021 ,true
108.82,,2,2021 ,false
106.12,12,,2021 ,true
107.68,13,,2021 ,true
105.82,14,,2021 ,true
119.04,15,,2021 ,true
103.6,16,,2021 ,true
106.84,17,,2021 ,true
105.0,18,,2021 ,true
115.75,19,,2021 ,true
109.61,20,,2021 ,true
112.14,21,,2021 ,true
108.03,22,,2021 ,true
110.36,23,,2021 ,true
