indic,unit,geo\time	2020Q1 	2020Q2 	2020Q3 	2020Q4 	2021Q1 	2021Q2 	2021Q3 	2021Q4 	2022Q1 	2022Q2 	2022Q3 	2022Q4 
TOTAL,PCH_Q4_NSA,CZ	8.6 	7.8 	8.4 	8.9 	13.4 	17.2 	22.1 	25.8 	24.3 	22.3 	15.6 	6.9 
TOTAL,PCH_Q4_NSA,DE	7.4 	6.6 	8.3 	8.7 	9.3 	11.5 	12.8 	12.6 	11.6 p	9.7 p	4.3 p	-3.6 p
TOTAL,PCH_Q4_NSA,DK	2.0 	1.4 	6.2 	10.8 	14.1 	15.4 	11.2 	6.7 	4.2 	2.6 	-2.1 	-6.5 p
TOTAL,PCH_Q4_NSA,EA	5.2 	5.0 	5.0 	5.5 	5.9 	7.0 	9.0 	9.5 	9.8 	9.2 	6.6 	2.9 
TOTAL,PCH_Q4_NSA,EA19	5.2 	5.0 	5.0 	5.5 	5.9 	7.0 	9.0 	9.5 	9.8 	9.2 	6.6 	2.9 
TOTAL,PCH_Q4_NSA,EA20	5.2 	5.0 	5.0 	5.5 	5.9 	7.0 	9.0 	9.5 	9.8 	9.2 	6.7 	3.0 
TOTAL,PCH_Q4_NSA,EE	11.5 	4.0 	3.9 	4.8 	6.6 	16.1 	17.3 	20.4 	21.0 	27.4 	24.2 	16.9 
TOTAL,PCH_Q4_NSA,ES	3.3 	2.2 	1.8 	1.7 	0.9 	3.3 	4.2 	6.3 	8.5 	8.1 	7.6 	5.5 
TOTAL,PCH_Q4_NSA,EU	5.4 	5.2 	5.1 	5.8 	6.2 	7.6 	9.4 	10.2 	10.4 	9.8 	7.3 	3.5 
TOTAL,PCH_Q4_NSA,EU27_2020	5.7 	5.3 	5.3 	5.8 	6.3 	7.6 	9.4 	10.2 	10.4 	9.8 	7.3 	3.6 
TOTAL,PCH_Q4_NSA,FI	1.2 	0.6 	1.7 	3.5 	4.1 	5.5 	4.8 	3.9 	3.4 	2.4 	1.3 	-2.3 p
TOTAL,PCH_Q4_NSA,FR	4.9 	5.2 	4.9 	5.8 	5.5 	5.7 	7.1 	6.9 	7.0 	7.1 	6.5 p	4.9 p
TOTAL,PCH_Q4_NSA,HR	9.1 	8.3 	6.9 	6.4 	4.6 	6.5 	9.0 	9.1 	13.5 	13.6 	14.8 	17.3 
TOTAL,PCH_Q4_NSA,HU	8.3 	2.6 	4.8 	4.2 	9.6 	16.9 	16.7 	22.8 	23.2 p	24.9 p	23.4 p	16.5 p
TOTAL,PCH_Q4_NSA,IE	1.0 	0.3 	-0.8 	0.7 	3.0 	5.6 	10.6 	13.8 	15.0 	14.3 	11.9 	8.7 p
TOTAL,PCH_Q4_NSA,IS	4.7 	6.2 	7.4 	7.2 	8.6 	12.0 	13.7 	15.7 	17.9 	20.7 	24.1 	21.0 
TOTAL,PCH_Q4_NSA,IT	1.7 	3.3 	1.0 	1.5 	1.7 	0.4 	4.1 	4.0 	4.5 	5.2 	2.9 	2.8 p
TOTAL,PCH_Q4_NSA,LT	6.2 	7.0 	6.4 	9.4 	12.0 	13.3 	18.9 	19.8 	19.1 	22.1 	19.3 	16.0 
TOTAL,PCH_Q4_NSA,LU	14.1 	13.2 	13.8 	16.7 	17.2 	13.4 	13.2 	12.1 	10.3 	11.7 	11.0 	5.6 p
TOTAL,PCH_Q4_NSA,LV	8.8 	1.5 	1.7 	2.2 	2.9 	12.1 	12.4 	16.1 	17.4 	16.3 	13.6 	9.1 p
TOTAL,PCH_Q4_NSA,MT	5.5 	3.9 	2.7 	1.6 	4.6 	5.4 	5.9 	4.5 	6.8 p	7.6 p	6.3 p	5.9 p
TOTAL,PCH_Q4_NSA,NL	6.3 	7.1 	8.4 	8.7 	11.2 	13.0 	16.8 	18.8 	19.3 	18.1 	12.1 	5.3 p
TOTAL,PCH_Q4_NSA,NO	3.1 	3.2 	6.4 	7.1 	9.8 	10.3 	8.8 	7.7 	7.8 	6.7 	6.1 	3.0 
TOTAL,PCH_Q4_NSA,PL	11.3 	10.9 	10.9 	8.9 	7.2 	8.3 	8.9 	12.1 	13.6 	12.4 	12.1 	9.3 
TOTAL,PCH_Q4_NSA,PT	10.6 	9.7 	6.9 	8.0 	6.6 	7.8 	11.5 	11.6 	12.9 	13.2 	13.1 	11.3 
TOTAL,PCH_Q4_NSA,RO	8.1 	6.6 	2.3 	2.0 	1.4 	3.0 	5.9 	7.5 	6.4 	8.5 	7.0 	6.8 
TOTAL,PCH_Q4_NSA,SE	4.5 	3.3 	3.7 	5.3 	7.2 	10.9 	11.3 	10.9 	10.3 	7.1 	1.1 	-3.7 
TOTAL,PCH_Q4_NSA,SI	4.7 	5.2 	3.3 	5.2 	7.3 	10.1 	12.9 	15.8 	16.9 	15.6 	15.4 	11.3 
TOTAL,PCH_Q4_NSA,SK	13.1 	9.7 	8.5 	7.2 	2.0 	4.7 	8.0 	10.7 	14.2 	16.6 	14.6 	9.7 
TOTAL,PCH_Q4_NSA,TR	15.0 d	25.7 d	27.4 d	30.4 d	32.0 d	29.2 d	35.6 d	59.8 d	110.0 d	160.7 d	189.0 d	167.8 d
TOTAL,PCH_Q4_NSA,UK	2.0 	1.4 	2.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 
